shrid2,connected_villages,num_connected_villages,connected_populations,Town-Connected
11-24-484-03880-517902,[],0,[nan],0.0
11-24-484-03880-517925,"['11-24-484-03880-517969', '11-24-484-03880-517946', '11-24-484-03881-518024', '11-24-484-03880-517984', '11-24-484-03881-518023', '11-24-484-03881-802582', '11-24-484-03881-517996']",7,,
11-24-484-03880-517946,"['11-24-484-03880-517969', '11-24-484-03881-518024', '11-24-484-03880-517984', '11-24-484-03880-517925', '11-24-484-03881-518023', '11-24-484-03881-802582', '11-24-484-03881-517996']",7,,
11-24-484-03880-517955,"['11-24-484-03880-517960', '11-24-484-03880-517959']",2,"['1744.0', '497.0']",0.0
11-24-484-03880-517959,"['11-24-484-03880-517960', '11-24-484-03880-517955']",2,,
11-24-484-03880-517960,"['11-24-484-03880-517959', '11-24-484-03880-517955']",2,"['497.0', '587.0']",0.0
11-24-484-03880-517966,[],0,,
11-24-484-03880-517969,"['11-24-484-03880-517946', '11-24-484-03881-518024', '11-24-484-03880-517984', '11-24-484-03880-517925', '11-24-484-03881-518023', '11-24-484-03881-802582', '11-24-484-03881-517996']",7,"['2497.0', '523.0', '231.0', '755.0', '1961.0', nan, '1755.0']",0.0
11-24-484-03880-517984,"['11-24-484-03880-517969', '11-24-484-03880-517946', '11-24-484-03881-518024', '11-24-484-03880-517925', '11-24-484-03881-518023', '11-24-484-03881-802582', '11-24-484-03881-517996']",7,,
11-24-484-03880-517985,"['11-24-484-03881-518050', '11-24-484-03880-517986']",2,"['463.0', '921.0']",0.0
11-24-484-03880-517986,"['11-24-484-03880-517985', '11-24-484-03881-518050']",2,,
11-24-484-03881-517996,"['11-24-484-03880-517969', '11-24-484-03880-517946', '11-24-484-03881-518024', '11-24-484-03880-517984', '11-24-484-03880-517925', '11-24-484-03881-518023', '11-24-484-03881-802582']",7,"['1372.0', '2497.0', '523.0', '231.0', '755.0', '1961.0', nan]",0.0
11-24-484-03881-518004,"['11-24-484-03881-518006', '11-24-484-03881-518005']",2,"['7146.0', '1080.0']",1.0
11-24-484-03881-518005,"['11-24-485-03890-518992', '11-24-484-03881-518004', '11-24-484-03881-518006']",3,,
11-24-484-03881-518006,"['11-24-484-03881-518004', '11-24-484-03881-518017', '11-24-484-03881-518005']",3,"['1362.0', '9022.0', '1080.0']",1.0
11-24-484-03881-518017,"['11-24-484-03881-518018', '11-24-484-03881-518006', '11-24-485-03890-519025']",3,"['3065.0', '7146.0', '1433.0']",2.0
11-24-484-03881-518018,"['11-24-484-03881-518017', '11-24-485-03890-519025']",2,"['9022.0', '1433.0']",1.0
11-24-484-03881-518023,"['11-24-484-03880-517969', '11-24-484-03880-517946', '11-24-484-03881-518024', '11-24-484-03880-517984', '11-24-484-03880-517925', '11-24-484-03881-802582', '11-24-484-03881-517996']",7,,
11-24-484-03881-518024,"['11-24-484-03880-517969', '11-24-484-03880-517946', '11-24-484-03880-517984', '11-24-484-03880-517925', '11-24-484-03881-518023', '11-24-484-03881-802582', '11-24-484-03881-517996']",7,"['1372.0', '2497.0', '231.0', '755.0', '1961.0', nan, '1755.0']",0.0
11-24-484-03881-518050,"['11-24-484-03880-517985', '11-24-484-03880-517986']",2,,
11-24-484-03881-518072,"['11-24-484-03882-518266', '11-24-484-03882-518256', '11-24-484-03882-518269', '11-24-484-03882-518265', '11-24-484-03882-518270', '11-24-484-03882-518267']",6,,
11-24-484-03881-518080,"['11-24-484-03881-518129', '11-24-484-03881-518108', '11-24-484-03881-518107', '11-24-484-03881-518113']",4,"['2960.0', '910.0', '3058.0', '3887.0']",3.0
11-24-484-03881-518093,[],0,[nan],0.0
11-24-484-03881-518103,"['11-24-484-03881-518107', '11-24-484-03881-518106', '11-24-484-03881-518108', '11-24-484-03881-518116', '11-24-484-03881-518105', '11-24-484-03881-518127', '11-24-484-03881-518115']",7,"['3058.0', '1773.0', '910.0', '1394.0', '1470.0', '2675.0', '2166.0']",2.0
11-24-484-03881-518105,"['11-24-484-03881-518103', '11-24-484-03881-518107', '11-24-484-03881-518106', '11-24-484-03881-518108', '11-24-484-03881-518116', '11-24-484-03881-518127', '11-24-484-03881-518115']",7,,
11-24-484-03881-518106,"['11-24-484-03881-518103', '11-24-484-03881-518107', '11-24-484-03881-518108', '11-24-484-03881-518116', '11-24-484-03881-518105', '11-24-484-03881-518127', '11-24-484-03881-518115']",7,"['2699.0', '3058.0', '910.0', '1394.0', '1470.0', '2675.0', '2166.0']",3.0
11-24-484-03881-518107,"['11-24-484-03881-518103', '11-24-484-03881-518080', '11-24-484-03881-518106', '11-24-484-03881-518108', '11-24-484-03881-518116', '11-24-484-03881-518113', '11-24-484-03881-518105', '11-24-484-03881-518127', '11-24-484-03881-518129', '11-24-484-03881-518115']",10,"['2699.0', '1906.0', '1773.0', '910.0', '1394.0', '3887.0', '1470.0', '2675.0', '2960.0', '2166.0']",4.0
11-24-484-03881-518108,"['11-24-484-03881-518103', '11-24-484-03881-518107', '11-24-484-03881-518080', '11-24-484-03881-518106', '11-24-484-03881-518116', '11-24-484-03881-518113', '11-24-484-03881-518105', '11-24-484-03881-518127', '11-24-484-03881-518129', '11-24-484-03881-518115']",10,"['2699.0', '3058.0', '1906.0', '1773.0', '1394.0', '3887.0', '1470.0', '2675.0', '2960.0', '2166.0']",5.0
11-24-484-03881-518113,"['11-24-484-03881-518080', '11-24-484-03881-518129', '11-24-484-03881-518108', '11-24-484-03881-518107']",4,"['1906.0', '2960.0', '910.0', '3058.0']",2.0
11-24-484-03881-518115,"['11-24-484-03881-518103', '11-24-484-03881-518107', '11-24-484-03881-518106', '11-24-484-03881-518108', '11-24-484-03881-518116', '11-24-484-03881-518105', '11-24-484-03881-518127']",7,"['2699.0', '3058.0', '1773.0', '910.0', '1394.0', '1470.0', '2675.0']",3.0
11-24-484-03881-518116,"['11-24-484-03881-518103', '11-24-484-03881-518107', '11-24-484-03881-518106', '11-24-484-03881-518108', '11-24-484-03881-518105', '11-24-484-03881-518127', '11-24-484-03881-518115']",7,"['2699.0', '3058.0', '1773.0', '910.0', '1470.0', '2675.0', '2166.0']",3.0
11-24-484-03881-518123,"['11-24-484-03881-518139', '11-24-484-03881-518138']",2,"['973.0', '2211.0']",0.0
11-24-484-03881-518125,['11-24-484-03881-518126'],1,['4819.0'],1.0
11-24-484-03881-518126,['11-24-484-03881-518125'],1,['2831.0'],1.0
11-24-484-03881-518127,"['11-24-484-03881-518103', '11-24-484-03881-518107', '11-24-484-03881-518106', '11-24-484-03881-518108', '11-24-484-03881-518116', '11-24-484-03881-518105', '11-24-484-03881-518115']",7,"['2699.0', '3058.0', '1773.0', '910.0', '1394.0', '1470.0', '2166.0']",2.0
11-24-484-03881-518129,"['11-24-484-03881-518080', '11-24-484-03881-518108', '11-24-484-03881-518107', '11-24-484-03881-518113']",4,"['1906.0', '910.0', '3058.0', '3887.0']",2.0
11-24-484-03881-518138,"['11-24-484-03881-518123', '11-24-484-03881-518139']",2,"['2265.0', '973.0']",0.0
11-24-484-03881-518139,"['11-24-484-03881-518123', '11-24-484-03881-518138']",2,,
11-24-484-03881-802582,"['11-24-484-03880-517969', '11-24-484-03880-517946', '11-24-484-03881-518024', '11-24-484-03880-517984', '11-24-484-03880-517925', '11-24-484-03881-518023', '11-24-484-03881-517996']",7,,
11-24-484-03882-518184,['11-24-484-03882-518186'],1,['1310.0'],0.0
11-24-484-03882-518186,['11-24-484-03882-518184'],1,['3353.0'],1.0
11-24-484-03882-518187,"['11-24-483-03870-517317', '11-24-484-03882-518220', '11-24-483-03870-517314', '11-24-483-03870-517315', '11-24-483-03870-517318']",5,"['6098.0', '2324.0', '954.0', '1128.0', nan]",1.0
11-24-484-03882-518220,"['11-24-483-03870-517317', '11-24-483-03870-517314', '11-24-483-03870-517315', '11-24-484-03882-518187', '11-24-483-03870-517318']",5,"['6098.0', '954.0', '1128.0', '2862.0', nan]",2.0
11-24-484-03882-518256,"['11-24-484-03882-518266', '11-24-484-03881-518072', '11-24-484-03882-518269', '11-24-484-03882-518265', '11-24-484-03882-518270', '11-24-484-03882-518267']",6,,
11-24-484-03882-518265,"['11-24-484-03882-518266', '11-24-484-03882-518256', '11-24-484-03881-518072', '11-24-484-03882-518269', '11-24-484-03882-518270', '11-24-484-03882-518267']",6,,
11-24-484-03882-518266,"['11-24-484-03882-518256', '11-24-484-03881-518072', '11-24-484-03882-518269', '11-24-484-03882-518265', '11-24-484-03882-518270', '11-24-484-03882-518267']",6,,
11-24-484-03882-518267,"['11-24-484-03882-518266', '11-24-484-03882-518256', '11-24-484-03881-518072', '11-24-484-03882-518269', '11-24-484-03882-518265', '11-24-484-03882-518270']",6,,
11-24-484-03882-518269,"['11-24-484-03882-518266', '11-24-484-03882-518256', '11-24-484-03881-518072', '11-24-484-03882-518265', '11-24-484-03882-518270', '11-24-484-03882-518267']",6,,
11-24-484-03882-518270,"['11-24-484-03882-518266', '11-24-484-03882-518256', '11-24-484-03881-518072', '11-24-484-03882-518269', '11-24-484-03882-518265', '11-24-484-03882-518267']",6,,
11-24-484-03882-518278,['11-24-484-03882-518303'],1,,
11-24-484-03882-518303,['11-24-484-03882-518278'],1,,
11-24-484-03882-518322,['11-24-484-03882-518323'],1,,
11-24-484-03882-518323,['11-24-484-03882-518322'],1,,
11-24-484-03883-518394,[],0,[nan],0.0
11-24-484-03883-518401,['11-24-484-03883-518411'],1,['3459.0'],1.0
11-24-484-03883-518405,"['11-24-484-03883-518410', '11-24-484-03883-518406', '11-24-484-03883-518409']",3,"['1012.0', '2274.0', '2174.0']",0.0
11-24-484-03883-518406,"['11-24-484-03883-518405', '11-24-484-03883-518410', '11-24-484-03883-518409']",3,"['389.0', '1012.0', '2174.0']",0.0
11-24-484-03883-518409,"['11-24-484-03883-518405', '11-24-484-03883-518410', '11-24-484-03883-518406']",3,"['389.0', '1012.0', '2274.0']",0.0
11-24-484-03883-518410,"['11-24-484-03883-518405', '11-24-484-03883-518406', '11-24-484-03883-518409']",3,"['389.0', '2274.0', '2174.0']",0.0
11-24-484-03883-518411,['11-24-484-03883-518401'],1,,
11-24-484-03883-518452,['11-24-484-03885-518537'],1,['5822.0'],1.0
11-24-484-03883-518453,[],0,[nan],0.0
11-24-484-03883-518454,[],0,[nan],0.0
11-24-484-03883-518455,"['11-24-484-03883-518456', '11-24-484-03883-518468']",2,"['4721.0', '1360.0']",1.0
11-24-484-03883-518456,['11-24-484-03883-518455'],1,['4091.0'],1.0
11-24-484-03883-518468,['11-24-484-03883-518455'],1,['4091.0'],1.0
11-24-484-03883-518469,[],0,[nan],0.0
11-24-484-03883-518474,[],0,,
11-24-484-03883-518479,"['11-24-484-03885-518542', '11-24-484-03885-518543']",2,"['3891.0', '4166.0']",2.0
11-24-484-03884-518483,['11-24-484-03884-518484'],1,['2120.0'],0.0
11-24-484-03884-518484,['11-24-484-03884-518483'],1,['1654.0'],0.0
11-24-484-03884-518490,"['11-24-484-03884-518491', '11-24-484-03884-518532', '11-24-484-03884-518493', '11-24-484-03884-518495']",4,"['1720.0', '293.0', '5763.0', '3331.0']",2.0
11-24-484-03884-518491,"['11-24-484-03884-518532', '11-24-484-03884-518490', '11-24-484-03884-518495', '11-24-484-03884-518493']",4,"['293.0', '2177.0', '3331.0', '5763.0']",2.0
11-24-484-03884-518493,"['11-24-484-03884-518491', '11-24-484-03884-518532', '11-24-484-03884-518490', '11-24-484-03884-518495']",4,"['1720.0', '293.0', '2177.0', '3331.0']",1.0
11-24-484-03884-518495,"['11-24-484-03884-518491', '11-24-484-03884-518532', '11-24-484-03884-518490', '11-24-484-03884-518493']",4,"['1720.0', '293.0', '2177.0', '5763.0']",1.0
11-24-484-03884-518499,[],0,[nan],0.0
11-24-484-03884-518503,['11-24-485-03892-519238'],1,['7842.0'],1.0
11-24-484-03884-518514,"['11-24-484-03884-518519', '11-24-484-03884-518520', '11-24-484-03884-518515']",3,"['750.0', '6064.0', '9040.0']",2.0
11-24-484-03884-518515,"['11-24-484-03884-518520', '11-24-484-03884-518514', '11-24-484-03884-518519']",3,"['6064.0', '2861.0', '750.0']",2.0
11-24-484-03884-518519,"['11-24-484-03884-518514', '11-24-484-03884-518520', '11-24-484-03884-518515']",3,"['2861.0', '6064.0', '9040.0']",3.0
11-24-484-03884-518520,"['11-24-484-03884-518514', '11-24-484-03884-518519', '11-24-484-03884-518515']",3,,
11-24-484-03884-518521,"['11-24-484-03884-518524', '11-24-484-03884-518522']",2,,
11-24-484-03884-518522,"['11-24-484-03884-518521', '11-24-484-03884-518524']",2,"['2432.0', '6330.0']",1.0
11-24-484-03884-518524,"['11-24-484-03884-518521', '11-24-484-03884-518522']",2,"['2432.0', '5063.0']",1.0
11-24-484-03884-518526,['11-24-485-03895-519512'],1,['2782.0'],1.0
11-24-484-03884-518527,['11-24-485-03895-519512'],1,['2782.0'],1.0
11-24-484-03884-518528,"['11-24-484-03884-518529', '11-24-484-03885-518545']",2,"['7041.0', '7723.0']",2.0
11-24-484-03884-518529,"['11-24-484-03884-518528', '11-24-484-03885-518545']",2,"['6491.0', '7723.0']",2.0
11-24-484-03884-518532,"['11-24-484-03884-518491', '11-24-484-03884-518490', '11-24-484-03884-518495', '11-24-484-03884-518493']",4,,
11-24-484-03885-518537,['11-24-484-03883-518452'],1,,
11-24-484-03885-518541,['11-24-484-03885-518546'],1,['2739.0'],1.0
11-24-484-03885-518542,"['11-24-484-03885-518543', '11-24-484-03883-518479']",2,"['4166.0', '7155.0']",2.0
11-24-484-03885-518543,"['11-24-484-03885-518542', '11-24-484-03883-518479']",2,"['3891.0', '7155.0']",2.0
11-24-484-03885-518545,"['11-24-484-03884-518528', '11-24-484-03884-518529']",2,"['6491.0', '7041.0']",2.0
11-24-484-03885-518546,"['11-24-484-03885-518573', '11-24-484-03885-518541']",2,"['8269.0', '4500.0']",2.0
11-24-484-03885-518573,"['11-24-484-03885-518546', '11-24-484-03885-518574']",2,"['2739.0', '3018.0']",2.0
11-24-484-03885-518574,['11-24-484-03885-518573'],1,['8269.0'],1.0
11-24-484-03885-518591,['11-24-484-03885-518605'],1,['1545.0'],0.0
11-24-484-03885-518597,[],0,,
11-24-484-03885-518603,['11-24-484-03885-518639'],1,,
11-24-484-03885-518604,"['11-24-484-03885-518628', '11-24-484-03885-518639']",2,"['957.0', '2168.0']",0.0
11-24-484-03885-518605,['11-24-484-03885-518591'],1,,
11-24-484-03885-518628,"['11-24-484-03885-518639', '11-24-484-03885-518604']",2,,
11-24-484-03885-518635,"['11-24-485-03895-519543', '11-24-485-03895-519535']",2,"['3130.0', '1087.0']",1.0
11-24-484-03885-518639,"['11-24-484-03885-518628', '11-24-484-03885-518603', '11-24-484-03885-518604']",3,,
11-24-484-03886-518667,"['11-24-484-03886-518668', '11-24-486-03897-519728']",2,,
11-24-484-03886-518668,"['11-24-484-03886-518667', '11-24-486-03897-519728']",2,,
11-24-484-03886-518703,['11-24-484-03887-518734'],1,,
11-24-484-03887-518725,['11-24-484-03887-518743'],1,['4701.0'],1.0
11-24-484-03887-518734,['11-24-484-03886-518703'],1,['6997.0'],1.0
11-24-484-03887-518743,['11-24-484-03887-518725'],1,['3387.0'],1.0
11-24-484-03887-518744,[],0,[nan],0.0
11-24-484-03887-518761,[],0,[nan],0.0
11-24-484-03887-518776,[],0,,
11-24-484-03887-518786,['11-24-484-03887-518787'],1,['1456.0'],0.0
11-24-484-03887-518787,['11-24-484-03887-518786'],1,['3568.0'],1.0
11-24-484-03888-518816,['11-24-484-03888-518822'],1,,
11-24-484-03888-518817,['11-24-484-03888-518822'],1,['2569.0'],1.0
11-24-484-03888-518822,"['11-24-484-03888-518817', '11-24-484-03888-518816']",2,,
11-24-484-03888-518844,"['11-24-484-03888-518845', '11-24-484-03888-518862', '11-24-484-03888-518859', '11-24-484-03888-802588']",4,,
11-24-484-03888-518845,"['11-24-484-03888-802588', '11-24-484-03888-518862', '11-24-484-03888-518859', '11-24-484-03888-518844']",4,"['8099.0', '2655.0', '1206.0', '1234.0', '837.0']",2.0
11-24-484-03888-518850,"['11-24-484-03888-518871', '11-24-484-03888-518869', '11-24-484-03888-518873']",3,,
11-24-484-03888-518852,['11-24-484-03888-518853'],1,,
11-24-484-03888-518853,['11-24-484-03888-518852'],1,,
11-24-484-03888-518859,"['11-24-484-03888-802588', '11-24-484-03888-518845', '11-24-484-03888-518862', '11-24-484-03888-518844']",4,,
11-24-484-03888-518862,"['11-24-484-03888-518859', '11-24-484-03888-802588', '11-24-484-03888-518844', '11-24-484-03888-518863', '11-24-484-03888-518881', '11-24-484-03888-518882', '11-24-484-03888-518845']",7,,
11-24-484-03888-518863,"['11-24-484-03888-518881', '11-24-484-03888-518862', '11-24-484-03888-518882']",3,,
11-24-484-03888-518869,"['11-24-484-03888-518871', '11-24-484-03888-518850', '11-24-484-03888-518873']",3,"['6044.0', '3178.0', '577.0']",2.0
11-24-484-03888-518871,"['11-24-484-03888-518873', '11-24-484-03888-518850', '11-24-484-03888-518869']",3,"['577.0', '3178.0', '1425.0']",1.0
11-24-484-03888-518873,"['11-24-484-03888-518871', '11-24-484-03888-518850', '11-24-484-03888-518869']",3,"['6044.0', '3178.0', '1425.0']",2.0
11-24-484-03888-518881,"['11-24-484-03888-518882', '11-24-484-03888-518862', '11-24-484-03888-518863']",3,"['1257.0', '1206.0', '2703.0']",1.0
11-24-484-03888-518882,"['11-24-484-03888-518881', '11-24-484-03888-518862', '11-24-484-03888-518863']",3,,
11-24-484-03888-518902,[],0,,
11-24-484-03888-518933,[],0,,
11-24-484-03888-802588,"['11-24-484-03888-518845', '11-24-484-03888-518862', '11-24-484-03888-518859', '11-24-484-03888-518844']",4,,
11-24-484-03889-518948,"['11-24-484-03889-518954', '11-24-484-03889-518956']",2,,
11-24-484-03889-518952,['11-24-484-03889-518953'],1,,
11-24-484-03889-518953,['11-24-484-03889-518952'],1,['444.0'],0.0
11-24-484-03889-518954,"['11-24-484-03889-518948', '11-24-484-03889-518956']",2,"['475.0', '376.0']",0.0
11-24-484-03889-518956,"['11-24-484-03889-518948', '11-24-484-03889-518954']",2,,
11-24-484-03889-518964,"['11-24-484-03889-518969', '11-24-486-03900-520091', '11-24-484-03889-518965', '11-24-486-03900-520104', '11-24-484-03889-518967']",5,,
11-24-484-03889-518965,"['11-24-484-03889-518969', '11-24-486-03900-520091', '11-24-484-03889-518964', '11-24-486-03900-520104', '11-24-484-03889-518967']",5,,
11-24-484-03889-518967,"['11-24-484-03889-518969', '11-24-486-03900-520091', '11-24-484-03889-518964', '11-24-484-03889-518965', '11-24-486-03900-520104']",5,,
11-24-484-03889-518968,"['11-24-484-03889-518975', '11-24-486-03904-520737', '11-24-484-03889-518973', '11-24-484-03889-518974']",4,,
11-24-484-03889-518969,"['11-24-486-03900-520091', '11-24-484-03889-518964', '11-24-484-03889-518965', '11-24-486-03900-520104', '11-24-484-03889-518967']",5,,
11-24-484-03889-518973,"['11-24-484-03889-518975', '11-24-484-03889-518968', '11-24-484-03889-518974', '11-24-486-03904-520737']",4,,
11-24-484-03889-518974,"['11-24-484-03889-518975', '11-24-484-03889-518968', '11-24-484-03889-518973', '11-24-486-03904-520737']",4,,
11-24-484-03889-518975,"['11-24-486-03904-520737', '11-24-484-03889-518968', '11-24-484-03889-518973', '11-24-484-03889-518974']",4,,
11-24-484-03889-518989,[],0,,
11-24-485-03890-518992,['11-24-484-03881-518005'],1,['1080.0'],0.0
11-24-485-03890-519001,['11-24-485-03890-519003'],1,['5119.0'],1.0
11-24-485-03890-519003,['11-24-485-03890-519001'],1,['3939.0'],1.0
11-24-485-03890-519004,[],0,[nan],0.0
11-24-485-03890-519011,[],0,,
11-24-485-03890-519020,[],0,[nan],0.0
11-24-485-03890-519022,"['11-24-485-03890-519024', '11-24-485-03890-519023']",2,,
11-24-485-03890-519023,"['11-24-485-03890-519024', '11-24-485-03890-519022']",2,,
11-24-485-03890-519024,"['11-24-485-03890-519027', '11-24-485-03890-519022', '11-24-485-03890-519023']",3,,
11-24-485-03890-519025,"['11-24-484-03881-518018', '11-24-484-03881-518017']",2,"['3065.0', '9022.0']",2.0
11-24-485-03890-519026,['11-24-485-03890-519042'],1,,
11-24-485-03890-519027,['11-24-485-03890-519024'],1,['722.0'],0.0
11-24-485-03890-519032,"['11-24-485-03890-519033', '11-24-485-03890-519035', '11-24-485-03890-519049']",3,"['3555.0', '2420.0', '1499.0']",1.0
11-24-485-03890-519033,"['11-24-485-03890-519032', '11-24-485-03890-519035', '11-24-485-03890-519049']",3,"['7798.0', '2420.0', '1499.0']",1.0
11-24-485-03890-519035,"['11-24-485-03890-519033', '11-24-485-03890-519032', '11-24-485-03890-519049']",3,"['3555.0', '7798.0', '1499.0']",2.0
11-24-485-03890-519042,['11-24-485-03890-519026'],1,['1027.0'],0.0
11-24-485-03890-519046,"['11-24-485-03890-519047', '11-24-485-03890-519048', '11-24-485-03890-519056', '11-24-485-03890-519049']",4,"['1030.0', '3184.0', '6001.0', '1499.0']",2.0
11-24-485-03890-519047,"['11-24-485-03890-519046', '11-24-485-03890-519056', '11-24-485-03890-519048', '11-24-485-03890-519049']",4,,
11-24-485-03890-519048,"['11-24-485-03890-519046', '11-24-485-03890-519047', '11-24-485-03890-519056', '11-24-485-03890-519049']",4,"['7081.0', '1030.0', '6001.0', '1499.0']",2.0
11-24-485-03890-519049,"['11-24-485-03890-519033', '11-24-485-03890-519047', '11-24-485-03890-519048', '11-24-485-03890-519046', '11-24-485-03890-519032', '11-24-485-03890-519035']",6,"['3555.0', '1030.0', '3184.0', '7081.0', '7798.0', '2420.0']",4.0
11-24-485-03890-519053,[],0,[nan],0.0
11-24-485-03890-519056,"['11-24-485-03890-519047', '11-24-485-03890-519048', '11-24-485-03890-519073', '11-24-485-03890-519046', '11-24-485-03890-519063']",5,"['1030.0', '3184.0', '4127.0', '7081.0', '2011.0']",3.0
11-24-485-03890-519063,"['11-24-485-03890-519056', '11-24-485-03890-519073']",2,"['6001.0', '4127.0']",2.0
11-24-485-03890-519073,"['11-24-485-03890-519056', '11-24-485-03890-519063']",2,"['6001.0', '2011.0']",1.0
11-24-485-03890-519074,['11-24-485-03890-519077'],1,['4594.0'],1.0
11-24-485-03890-519077,['11-24-485-03890-519074'],1,['4602.0'],1.0
11-24-485-03890-519080,"['11-24-485-03890-519087', '11-24-485-03890-519082']",2,"['3909.0', '1617.0']",1.0
11-24-485-03890-519081,['11-24-485-03891-519104'],1,['3093.0'],1.0
11-24-485-03890-519082,"['11-24-485-03890-519087', '11-24-485-03890-519080']",2,"['3909.0', '1582.0']",1.0
11-24-485-03890-519087,"['11-24-485-03890-519080', '11-24-485-03890-519082']",2,"['1582.0', '1617.0']",0.0
11-24-485-03891-519088,[],0,[nan],0.0
11-24-485-03891-519089,"['11-24-485-03891-519090', '11-24-485-03891-519092']",2,"['2747.0', '1557.0']",1.0
11-24-485-03891-519090,"['11-24-485-03891-519089', '11-24-485-03891-519092']",2,,
11-24-485-03891-519092,"['11-24-485-03891-519089', '11-24-485-03891-519090']",2,,
11-24-485-03891-519097,"['11-24-485-03891-519108', '11-24-485-03891-519120', '11-24-485-03891-519111', '11-24-485-03891-519121', '11-24-485-03891-519112']",5,,
11-24-485-03891-519099,[],0,,
11-24-485-03891-519104,['11-24-485-03890-519081'],1,,
11-24-485-03891-519108,"['11-24-485-03891-519120', '11-24-485-03891-519111', '11-24-485-03891-519121', '11-24-485-03891-519112', '11-24-485-03891-519097']",5,"['7521.0', '1533.0', '1436.0', '5357.0', '1321.0']",2.0
11-24-485-03891-519111,"['11-24-485-03891-519108', '11-24-485-03891-519120', '11-24-485-03891-519121', '11-24-485-03891-519112', '11-24-485-03891-519097']",5,"['4465.0', '7521.0', '1436.0', '5357.0', '1321.0']",3.0
11-24-485-03891-519112,"['11-24-485-03891-519108', '11-24-485-03891-519120', '11-24-485-03891-519111', '11-24-485-03891-519121', '11-24-485-03891-519097']",5,"['4465.0', '7521.0', '1533.0', '1436.0', '1321.0']",2.0
11-24-485-03891-519119,"['11-24-485-03891-519120', '11-24-485-03891-802589']",2,"['7521.0', nan]",1.0
11-24-485-03891-519120,"['11-24-485-03891-519108', '11-24-485-03891-519111', '11-24-485-03891-519121', '11-24-485-03891-519122', '11-24-485-03891-519112', '11-24-485-03891-519097', '11-24-485-03891-519119', '11-24-485-03891-802589']",8,"['4465.0', '1533.0', '1436.0', '1166.0', '5357.0', '1321.0', '7253.0', nan]",3.0
11-24-485-03891-519121,"['11-24-485-03891-519108', '11-24-485-03891-519120', '11-24-485-03891-519111', '11-24-485-03891-519122', '11-24-485-03891-519112', '11-24-485-03891-519097']",6,"['4465.0', '7521.0', '1533.0', '1166.0', '5357.0', '1321.0']",3.0
11-24-485-03891-519122,"['11-24-485-03891-519121', '11-24-485-03891-519120']",2,,
11-24-485-03891-519124,"['11-24-485-03891-519182', '11-24-485-03891-519125', '11-24-485-03891-519183']",3,"['4992.0', '11015.0', '2968.0']",3.0
11-24-485-03891-519125,"['11-24-485-03891-519182', '11-24-485-03891-519124', '11-24-485-03891-519183', '11-24-485-03891-519126']",4,"['4992.0', '4616.0', '2968.0', '9040.0']",4.0
11-24-485-03891-519126,"['11-24-485-03891-519179', '11-24-485-03891-519125', '11-24-485-03891-519180']",3,"['1315.0', '11015.0', '7552.0']",2.0
11-24-485-03891-519133,"['11-24-485-03891-519147', '11-24-485-03891-519148']",2,,
11-24-485-03891-519135,"['11-24-485-03891-519152', '11-24-485-03891-519147', '11-24-485-03891-519143', '11-24-485-03891-519145', '11-24-485-03891-519146', '11-24-485-03891-519150', '11-24-485-03891-519156', '11-24-485-03891-519139', '11-24-485-03891-519148']",9,,
11-24-485-03891-519139,"['11-24-485-03891-519152', '11-24-485-03891-519135', '11-24-485-03891-519143', '11-24-485-03891-519147', '11-24-485-03891-519145', '11-24-485-03891-519146', '11-24-485-03891-519150', '11-24-485-03891-519156', '11-24-485-03891-519148']",9,,
11-24-485-03891-519141,"['11-24-485-03891-519152', '11-24-485-03891-519153', '11-24-485-03891-519142', '11-24-485-03891-519159', '11-24-485-03891-519144', '11-24-485-03891-519154']",6,,
11-24-485-03891-519142,"['11-24-485-03891-519152', '11-24-485-03891-519153', '11-24-485-03891-519159', '11-24-485-03891-519141', '11-24-485-03891-519144', '11-24-485-03891-519154']",6,,
11-24-485-03891-519143,"['11-24-485-03891-519152', '11-24-485-03891-519135', '11-24-485-03891-519147', '11-24-485-03891-519145', '11-24-485-03891-519146', '11-24-485-03891-519150', '11-24-485-03891-519156', '11-24-485-03891-519139', '11-24-485-03891-519148']",9,,
11-24-485-03891-519144,"['11-24-485-03891-519152', '11-24-485-03891-519153', '11-24-485-03891-519142', '11-24-485-03891-519159', '11-24-485-03891-519141', '11-24-485-03891-519154']",6,,
11-24-485-03891-519145,"['11-24-485-03891-519152', '11-24-485-03891-519147', '11-24-485-03891-519135', '11-24-485-03891-519143', '11-24-485-03891-519146', '11-24-485-03891-519150', '11-24-485-03891-519156', '11-24-485-03891-519139', '11-24-485-03891-519148']",9,"['664.0', '2352.0', '2270.0', '624.0', '1859.0', '1839.0', '2503.0', '1584.0', '869.0']",1.0
11-24-485-03891-519146,"['11-24-485-03891-519152', '11-24-485-03891-519135', '11-24-485-03891-519143', '11-24-485-03891-519147', '11-24-485-03891-519145', '11-24-485-03891-519150', '11-24-485-03891-519156', '11-24-485-03891-519139', '11-24-485-03891-519148']",9,,
